Date,AverageTemperature,AverageTemperatureUncertainty,State,Country
1807-08-01,28.095,1.845,Puducherry,India
1807-09-01,27.829,1.974,Puducherry,India
1807-10-01,25.832,1.218,Puducherry,India
1807-11-01,25.347,2.102,Puducherry,India
1807-12-01,25.672,1.501,Puducherry,India
1808-01-01,,,Puducherry,India
1808-02-01,,,Puducherry,India
1808-03-01,,,Puducherry,India
1808-04-01,,,Puducherry,India
1808-05-01,,,Puducherry,India
1808-06-01,,,Puducherry,India
1808-07-01,,,Puducherry,India
1808-08-01,,,Puducherry,India
1808-09-01,,,Puducherry,India
1808-10-01,,,Puducherry,India
1808-11-01,,,Puducherry,India
1808-12-01,,,Puducherry,India
1809-01-01,,,Puducherry,India
1809-02-01,,,Puducherry,India
1809-03-01,,,Puducherry,India
1809-04-01,,,Puducherry,India
1809-05-01,,,Puducherry,India
1809-06-01,,,Puducherry,India
1809-07-01,,,Puducherry,India
1809-08-01,,,Puducherry,India
1809-09-01,,,Puducherry,India
1809-10-01,,,Puducherry,India
1809-11-01,,,Puducherry,India
1809-12-01,,,Puducherry,India
1810-01-01,,,Puducherry,India
1810-02-01,,,Puducherry,India
1810-03-01,,,Puducherry,India
1810-04-01,,,Puducherry,India
1810-05-01,,,Puducherry,India
1810-06-01,,,Puducherry,India
1810-07-01,,,Puducherry,India
1810-08-01,,,Puducherry,India
1810-09-01,,,Puducherry,India
1810-10-01,,,Puducherry,India
1810-11-01,,,Puducherry,India
1810-12-01,,,Puducherry,India
1811-01-01,,,Puducherry,India
1811-02-01,,,Puducherry,India
1811-03-01,,,Puducherry,India
1811-04-01,,,Puducherry,India
1811-05-01,,,Puducherry,India
1811-06-01,,,Puducherry,India
1811-07-01,,,Puducherry,India
1811-08-01,,,Puducherry,India
1811-09-01,,,Puducherry,India
1811-10-01,,,Puducherry,India
1811-11-01,,,Puducherry,India
1811-12-01,,,Puducherry,India
1812-01-01,,,Puducherry,India
1812-02-01,,,Puducherry,India
1812-03-01,,,Puducherry,India
1812-04-01,,,Puducherry,India
1812-05-01,,,Puducherry,India
1812-06-01,,,Puducherry,India
1812-07-01,,,Puducherry,India
1812-08-01,,,Puducherry,India
1812-09-01,,,Puducherry,India
1812-10-01,,,Puducherry,India
1812-11-01,,,Puducherry,India
1812-12-01,,,Puducherry,India
1813-01-01,23.594,4.332,Puducherry,India
1813-02-01,25.532,1.247,Puducherry,India
1813-03-01,26.858,6.746,Puducherry,India
1813-04-01,29.859,1.142,Puducherry,India
1813-05-01,30.665,5.726,Puducherry,India
1813-06-01,28.022,2.631,Puducherry,India
1813-07-01,27.589,1.917,Puducherry,India
1813-08-01,26.702,1.052,Puducherry,India
1813-09-01,26.756,2.401,Puducherry,India
1813-10-01,25.682,1.024,Puducherry,India
1813-11-01,25.286,2.641,Puducherry,India
1813-12-01,23.102,1.71,Puducherry,India
1814-01-01,23.462,3.471,Puducherry,India
1814-02-01,25.068,0.68,Puducherry,India
1814-03-01,26.831,1.622,Puducherry,India
1814-04-01,28.62,1.302,Puducherry,India
1814-05-01,,,Puducherry,India
1814-06-01,29.206,1.836,Puducherry,India
1814-07-01,27.433,3.929,Puducherry,India
1814-08-01,27.054,1.55,Puducherry,India
1814-09-01,26.098,1.086,Puducherry,India
1814-10-01,25.227,3.716,Puducherry,India
1814-11-01,25.397,5.442,Puducherry,India
1814-12-01,24.947,6.236,Puducherry,India
1815-01-01,23.31,3.121,Puducherry,India
1815-02-01,25.794,5.457,Puducherry,India
1815-03-01,26.779,3.312,Puducherry,India
1815-04-01,30.203,4.259,Puducherry,India
1815-05-01,30.243,4.422,Puducherry,India
1815-06-01,26.412,1.333,Puducherry,India
1815-07-01,26.422,3.977,Puducherry,India
1815-08-01,27.134,1.581,Puducherry,India
1815-09-01,26.732,1.231,Puducherry,India
1815-10-01,24.501,2.978,Puducherry,India
1815-11-01,23.86,2.279,Puducherry,India
1815-12-01,22.971,2.15,Puducherry,India
1816-01-01,23.448,5.825,Puducherry,India
1816-02-01,23.038,2.129,Puducherry,India
1816-03-01,26.124,2.248,Puducherry,India
1816-04-01,27.858,4.2,Puducherry,India
1816-05-01,29.708,2.038,Puducherry,India
1816-06-01,28.23,1.986,Puducherry,India
1816-07-01,26.057,1.956,Puducherry,India
1816-08-01,26.144,1.201,Puducherry,India
1816-09-01,25.55,1.157,Puducherry,India
1816-10-01,24.352,5.928,Puducherry,India
1816-11-01,24.744,6.696,Puducherry,India
1816-12-01,23.412,1.711,Puducherry,India
1817-01-01,23.495,4.859,Puducherry,India
1817-02-01,25.211,3.458,Puducherry,India
1817-03-01,27.152,1.951,Puducherry,India
1817-04-01,28.373,2.311,Puducherry,India
1817-05-01,28.975,2.622,Puducherry,India
1817-06-01,27.458,1.862,Puducherry,India
1817-07-01,26.993,2.142,Puducherry,India
1817-08-01,27.319,1.895,Puducherry,India
1817-09-01,25.059,2.502,Puducherry,India
1817-10-01,24.389,2.775,Puducherry,India
1817-11-01,24.012,2.506,Puducherry,India
1817-12-01,23.693,4.088,Puducherry,India
1818-01-01,24.143,3.342,Puducherry,India
1818-02-01,25.159,2.791,Puducherry,India
1818-03-01,27.354,2.272,Puducherry,India
1818-04-01,29.411,5.636,Puducherry,India
1818-05-01,30.699,3.085,Puducherry,India
1818-06-01,29.103,4.131,Puducherry,India
1818-07-01,25.752,3.849,Puducherry,India
1818-08-01,25.326,3.47,Puducherry,India
1818-09-01,26.077,2.384,Puducherry,India
1818-10-01,24.532,1.971,Puducherry,India
1818-11-01,24.463,5.421,Puducherry,India
1818-12-01,23.768,1.687,Puducherry,India
1819-01-01,22.231,2.863,Puducherry,India
1819-02-01,24.137,3.42,Puducherry,India
1819-03-01,26.401,6.298,Puducherry,India
1819-04-01,28.3,1.503,Puducherry,India
1819-05-01,29.347,0.983,Puducherry,India
1819-06-01,28.783,2.166,Puducherry,India
1819-07-01,27.074,1.168,Puducherry,India
1819-08-01,27.428,2.454,Puducherry,India
1819-09-01,26.156,0.793,Puducherry,India
1819-10-01,25.728,2.052,Puducherry,India
1819-11-01,25.532,1.276,Puducherry,India
1819-12-01,24.024,1.72,Puducherry,India
1820-01-01,22.986,4.499,Puducherry,India
1820-02-01,24.843,1.229,Puducherry,India
1820-03-01,26.877,1.185,Puducherry,India
1820-04-01,29.614,0.887,Puducherry,India
1820-05-01,28.579,2.38,Puducherry,India
1820-06-01,28.033,1.714,Puducherry,India
1820-07-01,26.962,2.186,Puducherry,India
1820-08-01,26.661,2.849,Puducherry,India
1820-09-01,26.385,1.877,Puducherry,India
1820-10-01,25.622,1.452,Puducherry,India
1820-11-01,25.187,2.125,Puducherry,India
1820-12-01,24.088,3.015,Puducherry,India
1821-01-01,25.329,2.797,Puducherry,India
1821-02-01,26.356,3.556,Puducherry,India
1821-03-01,28.685,2.023,Puducherry,India
1821-04-01,27.495,2.673,Puducherry,India
1821-05-01,29.661,1.77,Puducherry,India
1821-06-01,28.218,2.785,Puducherry,India
1821-07-01,27.169,1.874,Puducherry,India
1821-08-01,27.594,1.929,Puducherry,India
1821-09-01,26.001,1.456,Puducherry,India
1821-10-01,25.522,1.169,Puducherry,India
1821-11-01,25.348,2.445,Puducherry,India
1821-12-01,24.375,1.443,Puducherry,India
1822-01-01,24.705,3.515,Puducherry,India
1822-02-01,26.803,2.502,Puducherry,India
1822-03-01,29.291,2.435,Puducherry,India
1822-04-01,28.931,1.345,Puducherry,India
1822-05-01,29.761,1.491,Puducherry,India
1822-06-01,28.219,1.618,Puducherry,India
1822-07-01,27.385,1.116,Puducherry,India
1822-08-01,26.32,2.356,Puducherry,India
1822-09-01,25.926,1.609,Puducherry,India
1822-10-01,24.947,1.063,Puducherry,India
1822-11-01,24.612,1.732,Puducherry,India
1822-12-01,23.993,3.082,Puducherry,India
1823-01-01,24.873,1.569,Puducherry,India
1823-02-01,26.023,2.708,Puducherry,India
1823-03-01,27.866,1.512,Puducherry,India
1823-04-01,29.369,2.682,Puducherry,India
1823-05-01,29.835,1.548,Puducherry,India
1823-06-01,29.569,2.143,Puducherry,India
1823-07-01,28.139,1.499,Puducherry,India
1823-08-01,26.986,1.252,Puducherry,India
1823-09-01,25.513,1.134,Puducherry,India
1823-10-01,26.066,2.115,Puducherry,India
1823-11-01,25.018,3.596,Puducherry,India
1823-12-01,25.338,2.897,Puducherry,India
1824-01-01,25.427,1.227,Puducherry,India
1824-02-01,26.31,2.907,Puducherry,India
1824-03-01,28.322,1.466,Puducherry,India
1824-04-01,29.586,2.233,Puducherry,India
1824-05-01,29.776,1.381,Puducherry,India
1824-06-01,29.677,3.05,Puducherry,India
1824-07-01,29.519,3.83,Puducherry,India
1824-08-01,27.727,1.703,Puducherry,India
1824-09-01,27.68,1.777,Puducherry,India
1824-10-01,24.919,1.956,Puducherry,India
1824-11-01,25.511,1.511,Puducherry,India
1824-12-01,25.701,3.129,Puducherry,India
1825-01-01,24.976,2.948,Puducherry,India
1825-02-01,26.328,1.53,Puducherry,India
1825-03-01,27.963,2.089,Puducherry,India
1825-04-01,29.554,2.54,Puducherry,India
1825-05-01,29.957,1.404,Puducherry,India
1825-06-01,29.067,1.1,Puducherry,India
1825-07-01,27.988,2.279,Puducherry,India
1825-08-01,26.678,2.129,Puducherry,India
1825-09-01,26.396,1.581,Puducherry,India
1825-10-01,25.916,1.762,Puducherry,India
1825-11-01,25.996,1.608,Puducherry,India
1825-12-01,24.351,1.236,Puducherry,India
1826-01-01,25.337,1.475,Puducherry,India
1826-02-01,25.619,2.667,Puducherry,India
1826-03-01,28.474,1.575,Puducherry,India
1826-04-01,29.98,2.684,Puducherry,India
1826-05-01,30.733,1.231,Puducherry,India
1826-06-01,28.097,2.75,Puducherry,India
1826-07-01,28.134,1.15,Puducherry,India
1826-08-01,26.591,1.234,Puducherry,India
1826-09-01,26.574,2.077,Puducherry,India
1826-10-01,26.438,2.406,Puducherry,India
1826-11-01,25.924,1.157,Puducherry,India
1826-12-01,25.671,2.781,Puducherry,India
1827-01-01,25.218,3.499,Puducherry,India
1827-02-01,26.007,1.927,Puducherry,India
1827-03-01,28.288,2.36,Puducherry,India
1827-04-01,29.725,3.446,Puducherry,India
1827-05-01,29.047,3.367,Puducherry,India
1827-06-01,28.856,2.315,Puducherry,India
1827-07-01,28.152,1.363,Puducherry,India
1827-08-01,27.031,1.428,Puducherry,India
1827-09-01,26.178,1.085,Puducherry,India
1827-10-01,25.67,1.129,Puducherry,India
1827-11-01,25.991,0.97,Puducherry,India
1827-12-01,24.709,3.833,Puducherry,India
1828-01-01,25.012,4.291,Puducherry,India
1828-02-01,25.978,2.843,Puducherry,India
1828-03-01,27.801,2.382,Puducherry,India
1828-04-01,28.804,2.371,Puducherry,India
1828-05-01,29.531,2.577,Puducherry,India
1828-06-01,29.713,2.156,Puducherry,India
1828-07-01,27.994,1.313,Puducherry,India
1828-08-01,27.121,1.748,Puducherry,India
1828-09-01,25.489,0.976,Puducherry,India
1828-10-01,25.744,1.501,Puducherry,India
1828-11-01,26.059,1.39,Puducherry,India
1828-12-01,25.023,2.506,Puducherry,India
1829-01-01,24.776,1.614,Puducherry,India
1829-02-01,24.952,2.87,Puducherry,India
1829-03-01,27.772,1.27,Puducherry,India
1829-04-01,29.079,1.222,Puducherry,India
1829-05-01,29.844,3.365,Puducherry,India
1829-06-01,29.097,2.219,Puducherry,India
1829-07-01,27.331,1.857,Puducherry,India
1829-08-01,26.999,1.342,Puducherry,India
1829-09-01,26.338,1.416,Puducherry,India
1829-10-01,26.365,1.879,Puducherry,India
1829-11-01,25.21,2.855,Puducherry,India
1829-12-01,24.668,4.524,Puducherry,India
1830-01-01,24.695,2.91,Puducherry,India
1830-02-01,25.743,2.703,Puducherry,India
1830-03-01,27.829,1.617,Puducherry,India
1830-04-01,29.081,1.85,Puducherry,India
1830-05-01,27.319,3.182,Puducherry,India
1830-06-01,28.827,2.581,Puducherry,India
1830-07-01,27.991,2.059,Puducherry,India
1830-08-01,26.782,1.894,Puducherry,India
1830-09-01,26.354,2.013,Puducherry,India
1830-10-01,25.983,2.963,Puducherry,India
1830-11-01,25.888,3.015,Puducherry,India
1830-12-01,25.075,2.586,Puducherry,India
1831-01-01,24.355,2.376,Puducherry,India
1831-02-01,26.324,4.848,Puducherry,India
1831-03-01,28.626,3.897,Puducherry,India
1831-04-01,28.671,0.921,Puducherry,India
1831-05-01,30.703,3.17,Puducherry,India
1831-06-01,29.614,2.486,Puducherry,India
1831-07-01,27.181,1.442,Puducherry,India
1831-08-01,26.608,1.39,Puducherry,India
1831-09-01,25.913,1.485,Puducherry,India
1831-10-01,25.336,1.415,Puducherry,India
1831-11-01,24.583,5.162,Puducherry,India
1831-12-01,24.273,3.899,Puducherry,India
1832-01-01,23.617,2.259,Puducherry,India
1832-02-01,24.758,2.323,Puducherry,India
1832-03-01,28.372,2.179,Puducherry,India
1832-04-01,29.92,3.748,Puducherry,India
1832-05-01,31.117,3.818,Puducherry,India
1832-06-01,,,Puducherry,India
1832-07-01,28.592,2.744,Puducherry,India
1832-08-01,27.929,3.905,Puducherry,India
1832-09-01,25.791,1.983,Puducherry,India
1832-10-01,25.015,2.903,Puducherry,India
1832-11-01,24.666,1.052,Puducherry,India
1832-12-01,,,Puducherry,India
1833-01-01,24.536,3.187,Puducherry,India
1833-02-01,26.077,1.551,Puducherry,India
1833-03-01,27.379,2.42,Puducherry,India
1833-04-01,29.083,1.74,Puducherry,India
1833-05-01,29.704,2.278,Puducherry,India
1833-06-01,29.095,1.566,Puducherry,India
1833-07-01,28.35,2.018,Puducherry,India
1833-08-01,26.612,1.344,Puducherry,India
1833-09-01,25.901,1.852,Puducherry,India
1833-10-01,25.356,1.359,Puducherry,India
1833-11-01,25.236,2.809,Puducherry,India
1833-12-01,25.158,2.827,Puducherry,India
1834-01-01,23.683,2.188,Puducherry,India
1834-02-01,25.764,2.414,Puducherry,India
1834-03-01,28.058,2.421,Puducherry,India
1834-04-01,28.5,2.269,Puducherry,India
1834-05-01,30.929,2.046,Puducherry,India
1834-06-01,28.875,2.654,Puducherry,India
1834-07-01,27.192,1.436,Puducherry,India
1834-08-01,27.15,1.234,Puducherry,India
1834-09-01,26.918,2.274,Puducherry,India
1834-10-01,26.131,1.031,Puducherry,India
1834-11-01,25.644,1.857,Puducherry,India
1834-12-01,25.123,1.152,Puducherry,India
1835-01-01,24.707,2.233,Puducherry,India
1835-02-01,25.521,2.23,Puducherry,India
1835-03-01,27.247,1.642,Puducherry,India
1835-04-01,27.949,2.147,Puducherry,India
1835-05-01,29.071,1.739,Puducherry,India
1835-06-01,27.842,1.819,Puducherry,India
1835-07-01,27.076,1.961,Puducherry,India
1835-08-01,26.565,1.874,Puducherry,India
1835-09-01,26.168,2.18,Puducherry,India
